subject,object,predicat
compound/compound_718,decrease_efficacy,compound_380
compound/compound_718,decrease_efficacy,compound_400
compound/compound_718,decrease_efficacy,compound_402
compound/compound_718,decrease_efficacy,compound_44
compound/compound_718,decrease_efficacy,compound_45
compound/compound_718,decrease_efficacy,compound_4546
compound/compound_718,decrease_efficacy,compound_4562
compound/compound_718,decrease_efficacy,compound_4592
compound/compound_718,decrease_efficacy,compound_4594
compound/compound_718,decrease_efficacy,compound_479
compound/compound_718,decrease_efficacy,compound_4793
compound/compound_718,decrease_efficacy,compound_5457
compound/compound_718,decrease_efficacy,compound_5497
compound/compound_718,decrease_efficacy,compound_5857
compound/compound_718,decrease_efficacy,compound_653
compound/compound_718,decrease_efficacy,compound_657
compound/compound_718,decrease_efficacy,compound_68
compound/compound_718,decrease_efficacy,compound_715
compound/compound_718,decrease_efficacy,compound_722
compound/compound_718,decrease_efficacy,compound_793
compound/compound_718,decrease_efficacy,compound_7942
compound/compound_718,decrease_efficacy,compound_8020
compound/compound_718,decrease_efficacy,compound_8022
compound/compound_718,decrease_efficacy,compound_817
compound/compound_826,,
compound/compound_972,decrease_efficacy,compound_1018
compound/compound_972,decrease_efficacy,compound_1028
compound/compound_972,decrease_efficacy,compound_1042
compound/compound_972,decrease_efficacy,compound_1049
compound/compound_972,decrease_efficacy,compound_1055
compound/compound_972,decrease_efficacy,compound_1070
compound/compound_972,decrease_efficacy,compound_1088
compound/compound_972,decrease_efficacy,compound_11207
compound/compound_972,decrease_efficacy,compound_1122
compound/compound_972,decrease_efficacy,compound_1128
compound/compound_972,decrease_efficacy,compound_1131
compound/compound_972,decrease_efficacy,compound_11496
compound/compound_972,decrease_efficacy,compound_1153
compound/compound_972,decrease_efficacy,compound_1154
compound/compound_972,decrease_efficacy,compound_1155
compound/compound_972,decrease_efficacy,compound_11567
compound/compound_972,decrease_efficacy,compound_11616
compound/compound_972,decrease_efficacy,compound_11755
compound/compound_972,decrease_efficacy,compound_1202
compound/compound_972,decrease_efficacy,compound_1204
compound/compound_972,decrease_efficacy,compound_1206
compound/compound_972,decrease_efficacy,compound_1207
compound/compound_972,decrease_efficacy,compound_1211
compound/compound_972,decrease_efficacy,compound_1214
compound/compound_972,decrease_efficacy,compound_1218
compound/compound_972,decrease_efficacy,compound_1219
compound/compound_972,decrease_efficacy,compound_12339
compound/compound_972,decrease_efficacy,compound_12365
compound/compound_972,decrease_efficacy,compound_1264
compound/compound_972,decrease_efficacy,compound_1265
compound/compound_972,decrease_efficacy,compound_1294
compound/compound_972,decrease_efficacy,compound_1295
compound/compound_972,decrease_efficacy,compound_1296
compound/compound_972,decrease_efficacy,compound_1297
compound/compound_972,decrease_efficacy,compound_1307
compound/compound_972,decrease_efficacy,compound_1308
compound/compound_972,decrease_efficacy,compound_1309
compound/compound_972,decrease_efficacy,compound_1310
compound/compound_972,decrease_efficacy,compound_1311
compound/compound_972,decrease_efficacy,compound_1327
compound/compound_972,decrease_efficacy,compound_1330
compound/compound_972,decrease_efficacy,compound_1342
compound/compound_972,decrease_efficacy,compound_1348
compound/compound_972,decrease_efficacy,compound_1349
compound/compound_972,decrease_efficacy,compound_1419
compound/compound_972,decrease_efficacy,compound_1431
compound/compound_972,decrease_efficacy,compound_1520
compound/compound_972,decrease_efficacy,compound_1552
compound/compound_972,decrease_efficacy,compound_170
compound/compound_972,decrease_efficacy,compound_199
compound/compound_972,decrease_efficacy,compound_209
compound/compound_972,decrease_efficacy,compound_227
compound/compound_972,decrease_efficacy,compound_231
compound/compound_972,decrease_efficacy,compound_235
compound/compound_972,decrease_efficacy,compound_236
compound/compound_972,decrease_efficacy,compound_270
compound/compound_972,decrease_efficacy,compound_296
compound/compound_972,decrease_efficacy,compound_302
compound/compound_972,decrease_efficacy,compound_311
compound/compound_972,decrease_efficacy,compound_314
compound/compound_972,decrease_efficacy,compound_321
compound/compound_972,decrease_efficacy,compound_322
compound/compound_972,decrease_efficacy,compound_323
compound/compound_972,decrease_efficacy,compound_329
compound/compound_972,decrease_efficacy,compound_343
compound/compound_972,decrease_efficacy,compound_352
compound/compound_972,decrease_efficacy,compound_355
compound/compound_972,decrease_efficacy,compound_365
compound/compound_972,decrease_efficacy,compound_372
compound/compound_972,decrease_efficacy,compound_375
compound/compound_972,decrease_efficacy,compound_380
compound/compound_972,decrease_efficacy,compound_382
compound/compound_972,decrease_efficacy,compound_406
compound/compound_972,decrease_efficacy,compound_408
compound/compound_972,decrease_efficacy,compound_412
compound/compound_972,decrease_efficacy,compound_422
compound/compound_972,decrease_efficacy,compound_431
compound/compound_972,decrease_efficacy,compound_4351
compound/compound_972,decrease_efficacy,compound_450
compound/compound_972,decrease_efficacy,compound_451
compound/compound_972,decrease_efficacy,compound_4550
compound/compound_972,decrease_efficacy,compound_4559
compound/compound_972,decrease_efficacy,compound_460
compound/compound_972,decrease_efficacy,compound_465
compound/compound_972,decrease_efficacy,compound_471
compound/compound_972,decrease_efficacy,compound_484
compound/compound_972,decrease_efficacy,compound_493
compound/compound_718,has_side_effect,sideeffect_17
compound/compound_718,has_side_effect,sideeffect_1707
compound/compound_718,has_side_effect,sideeffect_174
compound/compound_718,has_side_effect,sideeffect_175
compound/compound_718,has_side_effect,sideeffect_176
compound/compound_718,has_side_effect,sideeffect_1765
compound/compound_718,has_side_effect,sideeffect_177
compound/compound_718,has_side_effect,sideeffect_1777
compound/compound_718,has_side_effect,sideeffect_178
compound/compound_718,has_side_effect,sideeffect_1789
compound/compound_718,has_side_effect,sideeffect_18
compound/compound_718,has_side_effect,sideeffect_180
compound/compound_718,has_side_effect,sideeffect_181
compound/compound_718,has_side_effect,sideeffect_186
compound/compound_718,has_side_effect,sideeffect_188
compound/compound_718,has_side_effect,sideeffect_19
compound/compound_718,has_side_effect,sideeffect_190
compound/compound_718,has_side_effect,sideeffect_191
compound/compound_718,has_side_effect,sideeffect_1916
compound/compound_718,has_side_effect,sideeffect_192
compound/compound_718,has_side_effect,sideeffect_193
compound/compound_718,has_side_effect,sideeffect_199
compound/compound_718,has_side_effect,sideeffect_2
compound/compound_718,has_side_effect,sideeffect_20
compound/compound_718,has_side_effect,sideeffect_200
compound/compound_718,has_side_effect,sideeffect_2004
compound/compound_718,has_side_effect,sideeffect_203
compound/compound_718,has_side_effect,sideeffect_2066
compound/compound_718,has_side_effect,sideeffect_207
compound/compound_718,has_side_effect,sideeffect_208
compound/compound_718,has_side_effect,sideeffect_21
compound/compound_718,has_side_effect,sideeffect_210
compound/compound_718,has_side_effect,sideeffect_2115
compound/compound_718,has_side_effect,sideeffect_2116
compound/compound_718,has_side_effect,sideeffect_212
compound/compound_718,has_side_effect,sideeffect_2120
compound/compound_718,has_side_effect,sideeffect_214
compound/compound_718,has_side_effect,sideeffect_215
compound/compound_718,has_side_effect,sideeffect_218
compound/compound_718,has_side_effect,sideeffect_22
compound/compound_718,has_side_effect,sideeffect_220
compound/compound_718,has_side_effect,sideeffect_221
compound/compound_718,has_side_effect,sideeffect_2220
compound/compound_718,has_side_effect,sideeffect_224
compound/compound_718,has_side_effect,sideeffect_2279
compound/compound_718,has_side_effect,sideeffect_23
compound/compound_718,has_side_effect,sideeffect_232
compound/compound_718,has_side_effect,sideeffect_24
compound/compound_718,has_side_effect,sideeffect_240
compound/compound_718,has_side_effect,sideeffect_243
compound/compound_718,has_side_effect,sideeffect_244
compound/compound_718,has_side_effect,sideeffect_245
compound/compound_718,has_side_effect,sideeffect_246
compound/compound_718,has_side_effect,sideeffect_248
compound/compound_718,has_side_effect,sideeffect_2484
compound/compound_718,has_side_effect,sideeffect_25
compound/compound_718,has_side_effect,sideeffect_250
compound/compound_718,has_side_effect,sideeffect_251
compound/compound_718,has_side_effect,sideeffect_253
compound/compound_718,has_side_effect,sideeffect_255
compound/compound_718,has_side_effect,sideeffect_256
compound/compound_718,has_side_effect,sideeffect_257
compound/compound_718,has_side_effect,sideeffect_258
compound/compound_718,has_side_effect,sideeffect_26
compound/compound_718,has_side_effect,sideeffect_260
compound/compound_718,has_side_effect,sideeffect_264
compound/compound_718,has_side_effect,sideeffect_265
compound/compound_718,has_side_effect,sideeffect_2659
compound/compound_718,has_side_effect,sideeffect_266
compound/compound_718,has_side_effect,sideeffect_267
compound/compound_718,has_side_effect,sideeffect_27
compound/compound_718,has_side_effect,sideeffect_270
compound/compound_718,has_side_effect,sideeffect_272
compound/compound_718,has_side_effect,sideeffect_273
